latitude,longitude,acq_date,acq_time,confidence,frp,instrument,satellite,acq_datetime
31.41089,77.75755,2026-02-16,2008,n,2.99,VIIRS,N,2026-02-16 20:08:00
31.41144,77.75138,2026-02-16,2008,n,4.94,VIIRS,N,2026-02-16 20:08:00
29.45831,76.89173,2026-02-16,2148,n,1.89,VIIRS,N,2026-02-16 21:48:00
31.41421,77.7523,2026-02-16,2148,n,1.49,VIIRS,N,2026-02-16 21:48:00
31.41688,77.75121,2026-02-16,2148,n,1.85,VIIRS,N,2026-02-16 21:48:00
27.20527,75.50873,2026-02-17,0724,n,5.71,VIIRS,N,2026-02-17 07:24:00
28.07786,77.94387,2026-02-17,0724,n,3.77,VIIRS,N,2026-02-17 07:24:00
28.18928,78.01562,2026-02-17,0724,n,6.33,VIIRS,N,2026-02-17 07:24:00
28.19308,78.01484,2026-02-17,0724,n,4.84,VIIRS,N,2026-02-17 07:24:00
29.00436,75.93814,2026-02-17,0724,n,2.64,VIIRS,N,2026-02-17 07:24:00
29.00773,78.36938,2026-02-17,0724,n,3.27,VIIRS,N,2026-02-17 07:24:00
29.05197,78.07131,2026-02-17,0724,n,7.74,VIIRS,N,2026-02-17 07:24:00
29.07388,79.1147,2026-02-17,0724,n,3.37,VIIRS,N,2026-02-17 07:24:00
29.09045,77.00213,2026-02-17,0724,n,2.65,VIIRS,N,2026-02-17 07:24:00
29.12412,79.12515,2026-02-17,0724,n,3.17,VIIRS,N,2026-02-17 07:24:00
29.28414,79.09484,2026-02-17,0724,n,4.19,VIIRS,N,2026-02-17 07:24:00
29.30421,79.07851,2026-02-17,0724,l,3.18,VIIRS,N,2026-02-17 07:24:00
29.31104,78.99715,2026-02-17,0724,n,4.47,VIIRS,N,2026-02-17 07:24:00
29.38803,77.40394,2026-02-17,0724,n,3.86,VIIRS,N,2026-02-17 07:24:00
29.44157,78.9166,2026-02-17,0724,n,6.75,VIIRS,N,2026-02-17 07:24:00
29.44271,78.92188,2026-02-17,0724,n,4.83,VIIRS,N,2026-02-17 07:24:00
29.54013,76.68924,2026-02-17,0724,n,1.75,VIIRS,N,2026-02-17 07:24:00
29.73202,78.45617,2026-02-17,0724,n,8.87,VIIRS,N,2026-02-17 07:24:00
29.7366,78.45495,2026-02-17,0724,n,8.87,VIIRS,N,2026-02-17 07:24:00
29.8981,78.08338,2026-02-17,0724,n,3.42,VIIRS,N,2026-02-17 07:24:00
29.92121,79.04134,2026-02-17,0724,n,3.12,VIIRS,N,2026-02-17 07:24:00
29.93971,78.27028,2026-02-17,0724,n,2.99,VIIRS,N,2026-02-17 07:24:00
29.94094,78.27583,2026-02-17,0724,n,4.79,VIIRS,N,2026-02-17 07:24:00
29.96222,77.19186,2026-02-17,0724,n,3.0,VIIRS,N,2026-02-17 07:24:00
29.96228,79.19123,2026-02-17,0724,n,3.47,VIIRS,N,2026-02-17 07:24:00
29.96231,77.19178,2026-02-17,0724,n,5.97,VIIRS,N,2026-02-17 07:24:00
29.9938,79.02178,2026-02-17,0724,n,5.77,VIIRS,N,2026-02-17 07:24:00
29.99527,77.22284,2026-02-17,0724,n,5.07,VIIRS,N,2026-02-17 07:24:00
29.99561,77.22271,2026-02-17,0724,n,2.7,VIIRS,N,2026-02-17 07:24:00
30.20024,76.77181,2026-02-17,0724,n,1.68,VIIRS,N,2026-02-17 07:24:00
30.21284,76.76315,2026-02-17,0724,n,1.56,VIIRS,N,2026-02-17 07:24:00
30.21437,76.76385,2026-02-17,0724,n,1.74,VIIRS,N,2026-02-17 07:24:00
30.2772,78.65556,2026-02-17,0724,n,2.87,VIIRS,N,2026-02-17 07:24:00
30.4445,76.67625,2026-02-17,0724,n,1.15,VIIRS,N,2026-02-17 07:24:00
30.45027,75.75797,2026-02-17,0724,n,2.32,VIIRS,N,2026-02-17 07:24:00
